id_transaccion,fecha,id_cliente,categoria,producto,precio_unitario,cantidad,descuento_pct,total,canal,metodo_pago,ciudad,satisfaccion,atipico_total,año,mes_num,mes,trimestre,dia_semana,es_fin_de_semana,semana_iso,importe_medio_unitario
TX-000001,2024-01-01 10:05:00,C-00567,Alimentación,Té Verde Premium,9.0,2,0.05,17.1,Online,Tarjeta,Málaga,4.1,False,2024,1,Enero,T1,Lunes,False,1,8.55
TX-000002,2024-01-01 10:30:00,C-00500,Electrónica,Tablet Pro 11,449.0,4,0.0,1796.0,Tienda física,PayPal,Madrid,4.5,True,2024,1,Enero,T1,Lunes,False,1,449.0
TX-000003,2024-01-01 12:35:00,C-00927,Electrónica,Tablet Pro 11,449.0,1,0.0,449.0,Tienda física,Tarjeta,Madrid,4.3,False,2024,1,Enero,T1,Lunes,False,1,449.0
TX-000004,2024-01-01 12:50:00,C-00110,Electrónica,"Monitor 4K 27""",249.0,1,0.24,189.24,Online,PayPal,Málaga,4.2,False,2024,1,Enero,T1,Lunes,False,1,189.24
TX-000005,2024-01-01 14:00:00,C-01492,Electrónica,Portátil UltraBook 15,1099.0,3,0.08,3033.24,Tienda física,Tarjeta,Madrid,4.7,True,2024,1,Enero,T1,Lunes,False,1,1011.08
TX-000006,2024-01-01 15:55:00,C-01440,Hogar,Set Sartenes Antiadherentes,79.0,5,0.0,395.0,Tienda física,Tarjeta,Málaga,4.3,False,2024,1,Enero,T1,Lunes,False,1,79.0
TX-000007,2024-01-01 17:25:00,C-00173,Alimentación,Té Verde Premium,9.0,5,0.0,45.0,Tienda física,Tarjeta,Valencia,5.0,False,2024,1,Enero,T1,Lunes,False,1,9.0
TX-000008,2024-01-01 20:05:00,C-00933,Hogar,Cafetera Espresso,189.0,1,0.0,189.0,Online,Tarjeta,Valencia,4.0,False,2024,1,Enero,T1,Lunes,False,1,189.0
TX-000009,2024-01-01 20:40:00,C-01092,Ropa,Zapatillas Running,99.0,1,0.0,99.0,Tienda física,Tarjeta,Valencia,3.9,False,2024,1,Enero,T1,Lunes,False,1,99.0
TX-000010,2024-01-02 10:10:00,C-00933,Electrónica,Smartphone Galaxy X,699.0,5,0.0,3495.0,Online,PayPal,Valencia,2.9,True,2024,1,Enero,T1,Martes,False,1,699.0
TX-000011,2024-01-02 10:50:00,C-01344,Electrónica,Smartphone Galaxy X,699.0,1,0.25,524.25,Online,Efectivo,Barcelona,3.8,False,2024,1,Enero,T1,Martes,False,1,524.25
TX-000012,2024-01-02 11:10:00,C-00933,Ropa,Sudadera Premium,49.0,4,0.17,162.68,Tienda física,PayPal,Barcelona,3.2,False,2024,1,Enero,T1,Martes,False,1,40.67
TX-000013,2024-01-02 12:05:00,C-01344,Ropa,Sudadera Premium,49.0,2,0.1,88.2,Online,PayPal,Madrid,3.3,False,2024,1,Enero,T1,Martes,False,1,44.1
TX-000014,2024-01-02 13:45:00,C-01069,Hogar,Set Sartenes Antiadherentes,79.0,1,0.0,79.0,Tienda física,PayPal,Madrid,3.6,False,2024,1,Enero,T1,Martes,False,1,79.0
TX-000015,2024-01-02 15:30:00,C-00933,Alimentación,Aceite de Oliva Extra,12.0,1,0.0,12.0,Online,Tarjeta,Barcelona,3.9,False,2024,1,Enero,T1,Martes,False,1,12.0
TX-000016,2024-01-02 16:15:00,C-01092,Electrónica,Smartwatch Active,199.0,1,0.0,199.0,Online,PayPal,Madrid,5.0,False,2024,1,Enero,T1,Martes,False,1,199.0
TX-000017,2024-01-02 16:50:00,C-00306,Ropa,Sudadera Premium,49.0,1,0.0,49.0,Tienda física,PayPal,Madrid,4.4,False,2024,1,Enero,T1,Martes,False,1,49.0
TX-000018,2024-01-02 17:05:00,C-00759,Alimentación,Chocolate Artesanal,6.0,1,0.0,6.0,Online,PayPal,Zaragoza,3.6,False,2024,1,Enero,T1,Martes,False,1,6.0
TX-000019,2024-01-02 18:35:00,C-00323,Alimentación,Chocolate Artesanal,6.0,1,0.0,6.0,Online,Tarjeta,Sevilla,2.8,False,2024,1,Enero,T1,Martes,False,1,6.0
TX-000020,2024-01-02 19:40:00,C-01344,Ropa,Zapatillas Running,99.0,2,0.1,178.2,Tienda física,Tarjeta,Barcelona,2.4,False,2024,1,Enero,T1,Martes,False,1,89.1
TX-000021,2024-01-02 20:10:00,C-01150,Deportes,Bicicleta Estática,349.0,1,0.26,258.26,Tienda física,Tarjeta,Málaga,3.9,False,2024,1,Enero,T1,Martes,False,1,258.26
TX-000022,2024-01-02 20:30:00,C-00136,Alimentación,Café en Grano 1kg,14.0,3,0.0,42.0,Tienda física,Efectivo,Valencia,4.3,False,2024,1,Enero,T1,Martes,False,1,14.0
TX-000023,2024-01-02 20:35:00,C-00642,Ropa,Chaqueta Impermeable,89.0,5,0.0,445.0,Online,Tarjeta,Barcelona,3.8,False,2024,1,Enero,T1,Martes,False,1,89.0
