id_cliente,recencia_dias,frecuencia,valor_monetario,cluster,segmento
C-00001,1,106,36068.05,0,Leales
C-00002,54,1,39.0,0,Leales
C-00003,633,2,477.0,2,En riesgo
C-00004,135,4,640.89,3,Potenciales
C-00005,4,5,705.0,0,Leales
C-00006,109,2,606.0,0,Leales
C-00009,52,2,513.0,0,Leales
C-00010,193,10,5232.59,3,Potenciales
C-00011,224,2,2247.0,3,Potenciales
C-00012,11,6,1242.12,0,Leales
C-00013,46,6,1217.38,0,Leales
C-00014,97,4,2098.0,0,Leales
C-00015,8,2,83.0,0,Leales
C-00016,393,1,16.0,2,En riesgo
C-00017,22,1,129.63,0,Leales
C-00018,523,1,19.25,2,En riesgo
C-00020,3,17,5063.84,0,Leales
C-00021,18,15,2601.12,0,Leales
C-00022,30,16,4899.64,0,Leales
C-00023,200,1,199.0,3,Potenciales
C-00024,117,3,76.6,0,Leales
C-00025,415,2,338.0,2,En riesgo
C-00027,549,1,350.24,2,En riesgo
C-00028,3,21,6678.63,0,Leales
C-00029,53,2,187.0,0,Leales
C-00032,19,1,28.0,0,Leales
C-00033,40,9,2366.0,0,Leales
C-00035,136,3,456.0,3,Potenciales
C-00036,1,7,1576.48,0,Leales
C-00038,59,4,2097.46,0,Leales
C-00039,500,2,1643.0,2,En riesgo
C-00042,8,22,4883.9,0,Leales
C-00043,6,10,12053.21,0,Leales
C-00044,6,9,3322.51,0,Leales
C-00045,341,4,1057.0,3,Potenciales
C-00046,44,12,8500.0,0,Leales
C-00047,39,3,226.0,0,Leales
C-00048,390,3,335.16,2,En riesgo
C-00050,67,3,473.76,0,Leales
C-00051,76,14,2690.75,0,Leales
C-00052,83,3,629.77,0,Leales
C-00053,75,6,3851.0,0,Leales
C-00054,346,2,3333.75,3,Potenciales
C-00055,700,1,8.0,2,En riesgo
C-00057,16,6,403.21,0,Leales
C-00058,125,5,548.0,0,Leales
C-00059,161,3,384.0,3,Potenciales
C-00060,462,1,1796.0,2,En riesgo
C-00061,30,2,349.98,0,Leales
C-00062,377,4,480.0,2,En riesgo
C-00063,11,10,1663.29,0,Leales
C-00064,475,1,147.0,2,En riesgo
C-00065,541,2,694.0,2,En riesgo
C-00066,1,36,9233.63,0,Leales
C-00068,544,1,159.0,2,En riesgo
C-00069,34,3,953.0,0,Leales
C-00070,418,4,3204.0,2,En riesgo
C-00071,321,1,251.28,3,Potenciales
C-00073,301,4,2692.0,3,Potenciales
C-00074,26,6,1636.14,0,Leales
C-00076,4,15,4083.02,0,Leales
C-00077,220,4,1261.0,3,Potenciales
C-00078,121,3,633.0,0,Leales
C-00079,206,2,397.0,3,Potenciales
C-00082,36,8,2014.0,0,Leales
C-00083,83,7,1194.92,0,Leales
C-00086,7,20,11244.2,0,Leales
C-00087,115,2,650.13,0,Leales
C-00088,255,2,948.0,3,Potenciales
C-00089,8,35,22842.42,0,Leales
C-00091,117,3,402.78,0,Leales
C-00093,7,37,16659.25,0,Leales
C-00094,57,9,2407.67,0,Leales
C-00096,40,12,6127.64,0,Leales
C-00097,54,2,883.5,0,Leales
C-00098,282,1,21.0,3,Potenciales
C-00099,21,2,817.62,0,Leales
C-00101,20,10,4685.0,0,Leales
C-00103,413,1,9.0,2,En riesgo
C-00104,291,2,140.04,3,Potenciales
C-00108,190,6,2531.0,3,Potenciales
C-00109,5,4,1276.0,0,Leales
C-00110,689,2,1536.24,2,En riesgo
C-00112,26,2,305.0,0,Leales
C-00113,124,2,471.41,0,Leales
C-00114,669,1,295.0,2,En riesgo
C-00115,4,20,5062.8,0,Leales
C-00116,400,1,6.0,2,En riesgo
C-00117,156,3,839.92,3,Potenciales
C-00119,331,1,227.24,3,Potenciales
C-00120,503,1,98.0,2,En riesgo
C-00121,645,1,318.0,2,En riesgo
C-00122,76,1,298.0,0,Leales
C-00125,436,4,506.2,2,En riesgo
C-00127,259,2,186.0,3,Potenciales
C-00128,34,11,4117.0,0,Leales
C-00132,7,1,258.0,0,Leales
C-00133,20,6,3562.99,0,Leales
C-00134,142,2,792.0,3,Potenciales
C-00135,192,4,928.4,3,Potenciales
C-00136,1,308,118754.21,0,Leales
C-00137,190,2,656.0,3,Potenciales
C-00138,7,16,8207.83,0,Leales
C-00139,287,1,9.0,3,Potenciales
C-00141,26,4,1421.0,0,Leales
C-00142,31,7,1930.37,0,Leales
C-00143,234,4,844.85,3,Potenciales
C-00144,76,7,4548.08,0,Leales
C-00145,172,1,39.0,3,Potenciales
C-00146,215,1,28.0,3,Potenciales
C-00147,31,29,6774.81,0,Leales
C-00148,300,2,769.0,3,Potenciales
C-00149,16,2,1874.0,0,Leales
C-00152,186,1,79.0,3,Potenciales
C-00153,562,1,378.0,2,En riesgo
C-00154,365,4,579.38,2,En riesgo
C-00156,68,4,239.91,0,Leales
C-00157,116,2,2219.0,0,Leales
C-00158,97,4,3623.35,0,Leales
C-00159,307,1,160.38,3,Potenciales
C-00160,21,18,8975.28,0,Leales
C-00161,6,32,15279.45,0,Leales
C-00162,1,39,9674.26,0,Leales
C-00163,137,12,3328.37,3,Potenciales
C-00164,497,3,472.0,2,En riesgo
C-00165,16,2,922.0,0,Leales
C-00166,11,3,642.0,0,Leales
C-00169,215,2,644.0,3,Potenciales
C-00170,10,30,8005.23,0,Leales
C-00171,435,2,921.26,2,En riesgo
C-00173,11,29,15186.5,0,Leales
C-00175,82,7,591.0,0,Leales
C-00176,431,2,138.72,2,En riesgo
C-00177,21,22,8748.21,0,Leales
C-00178,62,3,917.61,0,Leales
C-00179,77,14,4448.16,0,Leales
C-00180,460,1,249.0,2,En riesgo
C-00181,64,2,62.0,0,Leales
C-00182,197,6,1194.23,3,Potenciales
C-00183,4,57,26408.5,0,Leales
C-00185,299,2,270.0,3,Potenciales
C-00186,55,1,12.0,0,Leales
C-00188,223,2,635.0,3,Potenciales
C-00189,41,3,1296.29,0,Leales
C-00190,277,2,541.66,3,Potenciales
C-00191,636,1,57.0,2,En riesgo
C-00192,104,2,20.32,0,Leales
C-00193,34,2,240.0,0,Leales
C-00195,410,3,1844.0,2,En riesgo
C-00196,32,18,7958.75,0,Leales
C-00197,194,2,419.75,3,Potenciales
C-00198,61,5,4971.91,0,Leales
C-00199,4,33,10235.11,0,Leales
C-00200,331,1,90.3,3,Potenciales
C-00202,95,2,1405.04,0,Leales
C-00203,31,18,4397.46,0,Leales
C-00204,375,4,671.0,2,En riesgo
C-00205,265,1,2245.0,3,Potenciales
C-00206,7,7,1664.51,0,Leales
C-00207,13,2,1551.42,0,Leales
C-00209,37,29,11199.7,0,Leales
C-00210,180,1,598.0,3,Potenciales
C-00211,120,4,772.72,0,Leales
C-00212,2,7,2343.62,0,Leales
C-00213,184,7,3057.0,3,Potenciales
C-00214,96,2,376.0,0,Leales
C-00215,29,8,1162.88,0,Leales
C-00217,81,12,3043.1,0,Leales
C-00218,30,10,1083.84,0,Leales
C-00219,186,7,2509.66,3,Potenciales
C-00220,134,1,70.0,3,Potenciales
C-00221,56,5,702.0,0,Leales
C-00222,541,1,747.0,2,En riesgo
C-00223,56,1,449.0,0,Leales
C-00224,139,3,735.0,3,Potenciales
C-00226,62,3,953.0,0,Leales
C-00227,376,2,167.1,2,En riesgo
C-00228,20,5,1201.89,0,Leales
C-00229,20,6,1506.85,0,Leales
C-00230,148,13,2477.54,3,Potenciales
C-00231,7,54,21707.61,0,Leales
C-00233,22,2,724.0,0,Leales
C-00234,14,5,1420.48,0,Leales
C-00235,9,11,3551.84,0,Leales
C-00236,35,14,10072.08,0,Leales
C-00238,346,2,113.04,3,Potenciales
C-00239,3,16,6537.57,0,Leales
C-00241,56,8,1329.62,0,Leales
C-00242,52,6,1379.0,0,Leales
C-00243,39,2,986.0,0,Leales
C-00244,303,2,66.26,3,Potenciales
C-00245,136,3,374.0,3,Potenciales
C-00248,378,1,84.0,2,En riesgo
C-00250,66,9,1221.68,0,Leales
C-00251,205,6,1228.84,3,Potenciales
C-00253,99,1,447.0,0,Leales
C-00254,330,1,449.0,3,Potenciales
C-00255,380,2,115.0,2,En riesgo
C-00256,703,1,99.0,2,En riesgo
C-00257,285,3,401.1,3,Potenciales
C-00258,217,5,810.9,3,Potenciales
C-00259,169,2,577.0,3,Potenciales
C-00260,25,7,2576.65,0,Leales
C-00261,47,4,1806.12,0,Leales
C-00262,578,1,18.0,2,En riesgo
C-00263,292,2,561.0,3,Potenciales
C-00264,624,1,89.0,2,En riesgo
C-00265,529,1,117.39,2,En riesgo
C-00267,9,4,1163.0,0,Leales
C-00268,19,9,3077.22,0,Leales
C-00269,62,7,1612.0,0,Leales
C-00270,6,16,4526.15,0,Leales
C-00271,423,2,131.0,2,En riesgo
C-00273,38,10,9783.6,0,Leales
C-00274,265,1,129.0,3,Potenciales
C-00275,219,26,8195.08,3,Potenciales
C-00276,237,2,1793.0,3,Potenciales
C-00277,36,12,2833.13,0,Leales
C-00278,414,1,189.0,2,En riesgo
C-00280,107,9,5900.68,0,Leales
C-00282,341,4,4667.0,3,Potenciales
C-00283,44,3,1096.22,0,Leales
C-00285,4,30,10500.37,0,Leales
C-00286,77,1,99.0,0,Leales
C-00287,408,2,1495.83,2,En riesgo
C-00288,629,1,29.0,2,En riesgo
C-00289,378,1,1347.0,2,En riesgo
C-00291,232,1,477.0,3,Potenciales
C-00292,169,4,1021.0,3,Potenciales
C-00293,53,7,2506.3,0,Leales
C-00294,5,39,12538.49,0,Leales
C-00295,3,6,1095.61,0,Leales
C-00296,195,2,326.0,3,Potenciales
C-00297,359,2,1225.65,3,Potenciales
C-00298,139,2,186.0,3,Potenciales
C-00299,75,2,1487.0,0,Leales
C-00300,515,2,2047.22,2,En riesgo
C-00301,6,34,12425.31,0,Leales
C-00303,92,3,214.3,0,Leales
C-00304,11,2,125.0,0,Leales
C-00305,675,1,258.0,2,En riesgo
C-00306,730,1,49.0,2,En riesgo
C-00308,15,2,176.43,0,Leales
C-00309,11,2,86.4,0,Leales
C-00310,69,9,1893.81,0,Leales
C-00311,41,11,1653.28,0,Leales
C-00312,105,1,149.0,0,Leales
C-00313,153,2,797.0,3,Potenciales
C-00315,172,4,1434.94,3,Potenciales
C-00316,33,6,1894.06,0,Leales
C-00318,212,1,80.64,3,Potenciales
C-00321,221,5,677.06,3,Potenciales
C-00322,33,20,6903.49,0,Leales
C-00323,4,15,5676.69,0,Leales
C-00324,8,3,236.0,0,Leales
C-00325,143,3,289.89,3,Potenciales
C-00326,10,9,3002.48,0,Leales
C-00327,238,1,90.0,3,Potenciales
C-00328,231,3,540.02,3,Potenciales
C-00329,217,1,398.0,3,Potenciales
C-00331,186,2,403.0,3,Potenciales
C-00332,18,1,258.0,0,Leales
C-00333,191,8,1955.06,3,Potenciales
C-00335,675,2,128.0,2,En riesgo
C-00336,27,9,1252.59,0,Leales
C-00337,242,1,99.0,3,Potenciales
C-00338,566,1,105.0,2,En riesgo
C-00339,682,1,14.0,2,En riesgo
C-00341,306,2,1096.0,3,Potenciales
C-00342,68,4,192.99,0,Leales
C-00343,128,6,919.2,0,Leales
C-00344,9,24,12466.91,0,Leales
C-00345,323,2,1417.0,3,Potenciales
C-00346,325,1,58.0,3,Potenciales
C-00347,289,1,4396.0,3,Potenciales
C-00348,79,7,2563.0,0,Leales
C-00350,4,4,1580.47,0,Leales
C-00352,168,3,824.0,3,Potenciales
C-00353,43,1,198.0,0,Leales
C-00354,199,3,2478.0,3,Potenciales
C-00355,53,9,3838.12,0,Leales
C-00356,4,3,292.45,0,Leales
C-00357,126,3,410.78,0,Leales
C-00358,152,6,1560.1,3,Potenciales
C-00359,40,6,1090.12,0,Leales
C-00361,668,1,30.0,2,En riesgo
C-00362,405,2,1496.0,2,En riesgo
C-00363,166,9,2420.0,3,Potenciales
C-00364,89,3,4993.0,0,Leales
C-00365,530,1,2097.0,2,En riesgo
C-00366,447,1,495.0,2,En riesgo
C-00367,161,3,2291.84,3,Potenciales
C-00368,46,2,230.95,0,Leales
C-00369,11,5,1997.44,0,Leales
C-00370,130,1,897.0,0,Leales
C-00371,2,2,331.0,0,Leales
C-00372,278,2,1073.0,3,Potenciales
C-00373,293,2,357.0,3,Potenciales
C-00374,10,4,379.0,0,Leales
C-00375,9,5,3353.6,0,Leales
C-00376,148,9,2412.52,3,Potenciales
C-00377,2,34,10128.59,0,Leales
C-00378,103,3,429.0,0,Leales
C-00379,23,5,1623.7,0,Leales
C-00380,15,7,4265.46,0,Leales
C-00381,343,2,1524.0,3,Potenciales
C-00382,20,6,1731.7,0,Leales
C-00383,156,2,288.42,3,Potenciales
C-00384,381,2,1065.0,2,En riesgo
C-00386,654,1,249.0,2,En riesgo
C-00387,193,7,2059.81,3,Potenciales
C-00388,29,12,1383.0,0,Leales
C-00389,28,7,1622.0,0,Leales
C-00391,210,2,2347.0,3,Potenciales
C-00392,588,1,796.0,2,En riesgo
C-00394,271,1,79.0,3,Potenciales
C-00396,183,2,496.0,3,Potenciales
C-00398,272,1,27.0,3,Potenciales
C-00399,327,2,194.4,3,Potenciales
C-00400,91,3,564.0,0,Leales
C-00401,202,2,1742.05,3,Potenciales
C-00402,99,2,96.0,0,Leales
C-00403,8,2,645.0,0,Leales
C-00404,91,4,566.76,0,Leales
C-00405,517,1,45.0,2,En riesgo
C-00406,34,7,3671.58,0,Leales
C-00407,70,1,299.0,0,Leales
C-00408,320,2,22.0,3,Potenciales
C-00409,16,6,3208.77,0,Leales
C-00410,127,2,472.14,0,Leales
C-00411,6,9,11738.07,0,Leales
C-00412,78,3,358.51,0,Leales
C-00414,84,9,2594.97,0,Leales
C-00415,19,3,897.24,0,Leales
C-00416,5,8,1253.0,0,Leales
C-00419,150,1,107.38,3,Potenciales
C-00420,253,2,82.0,3,Potenciales
C-00423,364,1,118.0,2,En riesgo
C-00426,235,1,8.0,3,Potenciales
C-00427,320,2,153.0,3,Potenciales
C-00428,481,1,29.0,2,En riesgo
C-00429,410,1,178.0,2,En riesgo
C-00430,4,58,14819.19,0,Leales
C-00431,50,6,6239.48,0,Leales
C-00432,15,2,46.72,0,Leales
C-00433,36,6,2731.0,0,Leales
C-00434,21,13,4031.88,0,Leales
C-00435,347,2,184.0,3,Potenciales
C-00436,644,1,9.0,2,En riesgo
C-00438,17,10,9032.86,0,Leales
C-00440,3,4,1093.8,0,Leales
C-00441,119,5,985.53,0,Leales
C-00443,12,1,84.0,0,Leales
C-00444,55,3,7809.0,0,Leales
C-00447,251,1,89.0,3,Potenciales
C-00448,33,3,520.92,0,Leales
C-00449,74,3,432.14,0,Leales
C-00450,93,8,2538.51,0,Leales
C-00451,4,6,1031.52,0,Leales
C-00453,209,2,907.0,3,Potenciales
C-00454,113,1,1398.0,0,Leales
C-00455,82,2,426.0,0,Leales
C-00456,72,3,1930.0,0,Leales
C-00457,200,2,354.0,3,Potenciales
C-00459,327,3,703.0,3,Potenciales
C-00460,181,4,858.78,3,Potenciales
C-00462,181,1,29.0,3,Potenciales
C-00463,254,2,201.0,3,Potenciales
C-00464,14,4,471.56,0,Leales
C-00465,12,3,1484.0,0,Leales
C-00467,58,12,3989.48,0,Leales
C-00468,301,4,5235.15,3,Potenciales
C-00469,17,4,336.88,0,Leales
C-00470,132,5,417.0,0,Leales
C-00471,68,10,2659.22,0,Leales
C-00472,21,3,810.0,0,Leales
C-00473,49,14,6056.15,0,Leales
C-00474,3,27,5167.6,0,Leales
C-00475,64,1,6.08,0,Leales
C-00478,130,4,1793.0,0,Leales
C-00479,70,3,1719.39,0,Leales
C-00480,120,4,2487.0,0,Leales
C-00481,41,9,2034.98,0,Leales
C-00482,23,7,6362.4,0,Leales
C-00483,451,1,59.0,2,En riesgo
C-00484,231,2,135.0,3,Potenciales
C-00485,8,3,1006.0,0,Leales
C-00486,6,7,892.52,0,Leales
C-00487,49,3,312.17,0,Leales
C-00488,78,13,4256.0,0,Leales
