,producto,categoria,unidades,ingresos,cuota_ingresos_pct
0,Portátil UltraBook 15,Electrónica,1025,1094483.11,25.0
1,Smartphone Galaxy X,Electrónica,1131,767334.24,17.53
2,Tablet Pro 11,Electrónica,1078,469474.4,10.72
3,"Monitor 4K 27""",Electrónica,1110,266561.97,6.09
4,Robot Aspirador,Hogar,897,259959.57,5.94
5,Bicicleta Estática,Deportes,623,210195.72,4.8
6,Smartwatch Active,Electrónica,1076,207131.14,4.73
7,Cafetera Espresso,Hogar,974,177896.25,4.06
8,Purificador de Aire,Hogar,968,149720.76,3.42
9,Auriculares Inalámbricos,Electrónica,1043,131484.54,3.0
